junction_name,daily_avg,daily_std,daily_max,active_days,consistency,spike_ratio,growth_rate,hotspot_type,priority_level
"BTP001 - 10th Cross, Dr. Rajkumar Road",20.085714285714285,17.57961774094591,84,140,0.12477009824593621,4.182076813655761,-0.3028322440087146,STABLE,HIGH
BTP006 - Navarang Bar Junction,3.357142857142857,2.9248837677666875,9,14,0.12875802662268887,2.6808510638297873,-0.21052631578947367,STABLE,LOW
BTP008 - Navarang Theatre,10.0,10.738809705842872,66,119,0.0,6.6,1.3615384615384616,EMERGING,MEDIUM
BTP009 - Prakash Nagar Junction,7.705882352941177,14.38123653756436,74,34,0.0,9.603053435114504,-0.7962962962962963,BURST,LOW
BTP010 - Rajajinagar Entrance,7.656,8.027276081605926,60,125,0.0,7.836990595611286,0.16058394160583941,BURST,LOW
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",11.504761904761905,9.952892708156421,47,105,0.13488929275130446,4.085264900662252,-0.2556390977443609,STABLE,MEDIUM
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",3.814814814814815,3.101327718612404,11,27,0.18703059803364164,2.883495145631068,0.92,EMERGING,LOW
"BTP016 - 5th Main Road, RPC Layout",24.019417475728154,22.694035055677492,110,103,0.055179623793540133,4.5796281325788195,0.5631313131313131,EMERGING,HIGH
BTP017 - Attiguppe Circle,17.583333333333332,14.406872353654444,45,24,0.18065180927083724,2.5592417061611377,1.8444444444444446,EMERGING,MEDIUM
BTP018 - Dhobi Ghat Junction,4.292134831460674,5.372916609319821,43,89,0.0,10.018324607329843,1.7333333333333334,EMERGING,LOW
BTP020 - Hosahalli Metro Station,33.614754098360656,38.68402337936252,294,122,0.0,8.746159473299196,0.5907046476761619,EMERGING,HIGH
"BTP022 - Marenahalli Junction, Vijayanagar",9.48360655737705,9.85282910796186,57,122,0.0,6.010371650821089,0.5304878048780488,EMERGING,MEDIUM
BTP023 - Mahalaxmi Layout Entrance,13.0,10.018099562321176,47,139,0.22937695674452496,3.6153846153846154,0.3385416666666667,STABLE,MEDIUM
"BTP024 - NPS, Vijayanagar",8.0,11.937873366425887,75,79,0.0,9.375,0.029411764705882353,BURST,MEDIUM
"BTP025 - Puttamma Choultry, Nagarbhavi",1.6875,1.0781929326423914,5,16,0.36107085473043476,2.962962962962963,-0.26666666666666666,STABLE,LOW
"BTP026 - 1st Block Junction, Rajajinagar",10.647058823529411,8.527935525854964,36,102,0.1990336798920751,3.38121546961326,0.23853211009174313,STABLE,MEDIUM
BTP027 - Modi Bridge Junction,30.972972972972972,27.876536825563896,167,148,0.0999721967313576,5.391797556719023,0.39017735334242837,STABLE,HIGH
BTP028 - Vijayanagar Bus Stand Junction,7.465346534653466,8.602981293058406,50,101,0.0,6.69761273209549,3.63265306122449,EMERGING,LOW
BTP030 - Mekhri Circle,3.48,3.2929217016706205,12,25,0.05375813170384469,3.4482758620689657,1.5555555555555556,EMERGING,LOW
BTP032 - Windsor Circle,25.933962264150942,28.860343154718137,166,106,0.0,6.400873044743544,0.7464788732394366,EMERGING,HIGH
"BTP033 - Sophia High School, Sankey Road",4.0,3.0162956114555937,12,52,0.24592609713610158,3.0,0.2857142857142857,STABLE,LOW
BTP034 - LRDE Junction,3.4444444444444446,3.1200588175689257,15,63,0.09417647231869908,4.354838709677419,0.84375,EMERGING,LOW
BTP035 - Basaweshwara Circle (LH) Junction,1.5,0.9780192938436514,5,24,0.3479871374375657,3.3333333333333335,0.42857142857142855,STABLE,LOW
BTP036 - Police Thimmaiah Circle (GPO),3.1923076923076925,3.5215818124159015,14,26,0.0,4.385542168674698,1.2777777777777777,EMERGING,LOW
BTP037 - KR Circle,3.5671641791044775,4.027270225926839,26,67,0.0,7.288702928870293,1.1111111111111112,EMERGING,LOW
BTP038 - Mysore Bank Junction,14.97037037037037,13.489045163170037,71,135,0.09895047153490599,4.742701632855022,0.2669683257918552,STABLE,MEDIUM
BTP040 - Elite Junction,70.98013245033113,41.96243879132471,241,151,0.4088143070078344,3.3953162903526777,0.061473486625997185,PERSISTENT,CRITICAL
BTP041 - Gopal Gowda Circle,7.56,13.59195440287363,57,50,0.0,7.53968253968254,5.4,EMERGING,LOW
BTP042 - Minsk Square Junction (CTO),18.925925925925927,19.192436060552268,104,108,0.0,5.495107632093933,-0.3058823529411765,STABLE,MEDIUM
BTP043 - Upparpet Junction,12.757142857142858,13.117000572090479,118,140,0.0,9.249720044792832,-0.1715686274509804,BURST,MEDIUM
BTP044 - Sagar Theatre Junction,69.86092715231788,40.85764550812971,222,151,0.4151574109652493,3.1777419660631336,-0.26908790755262074,PERSISTENT,CRITICAL
BTP045 - Danvanthri Road Junction,21.493243243243242,16.52682693251906,109,148,0.231068724925237,5.071361207167557,0.12954876273653565,STABLE,HIGH
BTP047 - Vidhan Soudha Metro Station,4.878048780487805,5.320691317635422,21,41,0.0,4.305,0.7419354838709677,EMERGING,LOW
BTP048 - Shanthala Junction,13.275,16.564598527273393,95,120,0.0,7.1563088512241055,-0.3069306930693069,BURST,MEDIUM
BTP051 - Safina Plaza Junction,102.3112582781457,84.37070466541995,459,151,0.17535268273167115,4.486309793514143,-0.3650014438348253,PERSISTENT,CRITICAL
BTP052 - CID Carlton House Junction,4.714285714285714,5.162178185968922,22,42,0.0,4.666666666666667,-0.43636363636363634,STABLE,LOW
BTP053 - Three Let Junction,2.125,2.938685006123894,15,24,0.0,7.0588235294117645,4.6,EMERGING,LOW
BTP054 - Shivananda Circle,6.155737704918033,6.598297416010954,60,122,0.0,9.747003994673769,0.5390625,EMERGING,LOW
BTP057 - Anand Rao Junction,26.58783783783784,18.346598436898784,91,148,0.3099627525639085,3.422617534942821,0.2847025495750708,STABLE,HIGH
BTP058 - Subbanna Junction,34.593333333333334,24.722105605972178,119,150,0.2853505799005923,3.4399691655424935,0.2606837606837607,STABLE,HIGH
BTP061 - Bhashyam Circle,8.512396694214877,8.878922328075012,44,121,0.0,5.168932038834951,2.2162162162162162,EMERGING,MEDIUM
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",3.8636363636363638,3.460066480581219,17,110,0.10445338149662564,4.3999999999999995,-0.18556701030927836,STABLE,LOW
BTP063 - Siddalingaiah Circle,9.05982905982906,10.69989574416708,69,117,0.0,7.616037735849057,0.712,EMERGING,MEDIUM
BTP064 - Devanga Hostel Junction,2.3636363636363638,1.868850026843508,8,44,0.20933268095082358,3.3846153846153846,2.7142857142857144,EMERGING,LOW
BTP067 - Jai Muni Rao Circle,4.811764705882353,5.989065666948827,39,85,0.0,8.10513447432763,0.020618556701030927,BURST,LOW
BTP068 - Veeresh Theatre Junction,6.72,8.936049069525804,56,75,0.0,8.333333333333334,-0.39285714285714285,BURST,LOW
