junction_name,hour_ist,violations,risk_score,total_violations,volume_score,city_risk
"BTP001 - 10th Cross, Dr. Rajkumar Road",0,2.25,0.20454545454545456,2812,0.18170044680437739,0.1954074514490237
"BTP001 - 10th Cross, Dr. Rajkumar Road",1,3.7142857142857144,0.33766233766233766,2812,0.18170044680437739,0.27527758131915353
"BTP001 - 10th Cross, Dr. Rajkumar Road",2,5.153846153846154,0.46853146853146854,2812,0.18170044680437739,0.3537990598406321
"BTP001 - 10th Cross, Dr. Rajkumar Road",3,4.1568627450980395,0.37789661319073087,2812,0.18170044680437739,0.2994181466361895
"BTP001 - 10th Cross, Dr. Rajkumar Road",4,4.8,0.43636363636363634,2812,0.18170044680437739,0.33449836053993276
"BTP001 - 10th Cross, Dr. Rajkumar Road",5,6.424242424242424,0.5840220385674931,2812,0.18170044680437739,0.42309340186224687
"BTP001 - 10th Cross, Dr. Rajkumar Road",6,6.414634146341464,0.5831485587583148,2812,0.18170044680437739,0.42256931397673986
"BTP001 - 10th Cross, Dr. Rajkumar Road",7,3.5,0.3181818181818182,2812,0.18170044680437739,0.26358926963084184
"BTP001 - 10th Cross, Dr. Rajkumar Road",8,6.861111111111111,0.6237373737373737,2812,0.18170044680437739,0.4469226029641752
"BTP001 - 10th Cross, Dr. Rajkumar Road",9,5.5777777777777775,0.507070707070707,2812,0.18170044680437739,0.3769226029641752
"BTP001 - 10th Cross, Dr. Rajkumar Road",10,6.333333333333333,0.5757575757575757,2812,0.18170044680437739,0.4181347241762964
"BTP001 - 10th Cross, Dr. Rajkumar Road",11,3.5681818181818183,0.32438016528925623,2812,0.18170044680437739,0.2673082778953047
"BTP001 - 10th Cross, Dr. Rajkumar Road",12,3.5,0.3181818181818182,2812,0.18170044680437739,0.26358926963084184
"BTP001 - 10th Cross, Dr. Rajkumar Road",13,3.21875,0.29261363636363635,2812,0.18170044680437739,0.24824836053993277
"BTP001 - 10th Cross, Dr. Rajkumar Road",14,3.25,0.29545454545454547,2812,0.18170044680437739,0.24995290599447822
"BTP001 - 10th Cross, Dr. Rajkumar Road",15,4.5,0.4090909090909091,2812,0.18170044680437739,0.3181347241762964
